mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta2_1,delta2_2,delta2_3,delta2_4,delta2_5,delta2_6,delta2_7,delta2_8,delta2_9,delta2_10,delta2_11,delta2_12,delta2_13,delta2_14,delta2_15,delta2_16,delta2_17,delta2_18,delta2_19,delta2_20,label
-379.8179,71.569855,-10.2892065,17.918327,8.31889,-8.388317,-26.538052,11.132559,-10.336664,5.9552674,11.89431,1.5631951,9.240988,4.3118606,-1.0231183,4.0957556,-3.6946783,-5.9015384,-0.30081493,0.4499041,2.3628607,2.9750197,-1.6201975,-0.41886643,-0.17238972,0.36855406,-0.27919117,-0.8417675,0.23678277,0.27087012,-0.039666954,-0.4717643,0.07890715,0.37371624,-0.16696067,-0.23886625,0.2065242,-0.08796425,-0.22753583,0.059086327,0.049166605,-0.119465135,-0.011311956,0.299415,-0.13243721,-0.15856555,0.1750398,-0.0043890467,-0.23802897,0.11397403,-0.011183501,0.017999686,-0.2722284,0.15244827,0.1317606,0.24424009,-0.03218998,-0.012951967,0.1784459,-0.13968949,0
-378.96866,68.653145,-0.2702696,13.104737,5.100311,-1.0795913,-28.104084,11.800482,-14.31285,7.8561077,12.860851,0.77175725,9.030884,5.6164875,1.7996804,4.43164,-1.8540955,-2.2515984,0.823942,0.96010715,0.5675853,-1.1298014,0.9216313,-0.89357346,0.03251619,0.68730503,-0.15321986,-0.16107954,-0.027224006,-0.005907649,0.29309747,0.038432606,0.090310365,0.16918956,0.21123889,0.00019397054,0.11856572,0.098967895,-0.24806817,-0.08940716,-0.42509487,0.66940284,-0.53314424,0.2720112,-0.24217646,-0.27513927,0.043074913,-0.014083006,0.06064894,-0.077350296,-0.032021124,-0.09798,0.021987468,-0.04690653,-0.14539996,0.08992803,-0.09619585,-0.11787411,0.10707407,-0.06591798,0
-404.5359,64.83513,-2.9286814,18.460428,1.4610692,-3.3989656,-25.346731,13.099069,-11.38571,5.6896,15.912986,0.60563785,10.200686,8.92709,1.1170543,3.635287,0.87613386,-0.49099377,2.3691885,0.40080744,-0.30311397,0.9976709,-1.6920991,-0.74100244,-0.25295046,-0.92519313,0.1600987,-0.07224724,-0.20167151,0.07026438,-0.15844566,-0.08349026,-0.5387528,-0.12321668,0.015338958,-0.5763558,0.04897857,0.22036876,-0.13655941,0.072707824,-0.680809,1.2923551,-0.89041317,0.28743827,0.09361624,0.08728759,-0.0015146278,-0.35193688,0.12737179,0.1420421,-0.2448982,-0.00044961722,-0.14995569,0.12080963,0.026732627,0.05104308,0.012352483,0.026675357,-0.15181094,-0.17874719,0
-413.6138,76.88387,-16.568178,15.33443,3.744306,-3.1299055,-27.264542,8.858596,-6.2960925,5.4989285,12.726559,2.112742,7.477578,9.656315,-2.5754316,1.1338714,0.88645864,-1.6484185,0.73352015,1.972832,-0.21461433,0.45583206,-0.9619941,0.10352839,0.3388245,-0.53968656,0.050465096,-0.009379614,-0.30984423,0.046205506,0.14898624,-0.08891948,-0.2645506,-0.19075142,0.053635165,-0.12911241,0.23327966,-0.029337075,-0.19618258,0.36715114,-0.7312647,-0.39644283,0.3134504,-0.42039958,0.057387266,0.3791381,-0.03416207,0.08550177,0.09270056,-0.17247275,-0.073274404,0.099880606,-0.2177137,-0.11428811,0.10730191,0.0133844875,-0.16959527,0.11697635,-0.17641433,0.039827693,0
-401.74838,87.79932,-18.409225,22.802877,5.2548447,-3.0119026,-27.750658,7.3634906,-8.148451,4.174529,14.006979,3.767514,5.901177,8.605848,-2.4513462,2.0966437,-0.5731155,-0.20534477,-0.7782075,2.861516,1.5886,-1.2328752,0.74431705,1.2200241,-0.8168897,-0.3733645,0.26455396,0.5513494,-0.4842593,0.08215938,0.16071218,-0.15494207,0.40656772,0.057678957,-0.084256835,0.2120143,-0.3332764,-0.2802822,0.15976007,-0.41401097,-0.31078476,-0.20435348,-0.21020183,-0.11178273,-0.10830873,-0.19965093,0.0024457546,0.29268035,0.14853182,0.11562909,0.077161595,0.027394172,-0.12514235,0.03692898,0.14841071,-0.069636464,-0.17597167,-0.055897444,-0.05996429,-0.078161635,0
-384.69138,78.51126,-12.708081,23.613853,0.7729982,-5.4615545,-23.840132,10.508478,-8.934499,5.48596,14.737278,5.8134913,9.390312,8.257072,-0.7252749,2.9030824,-1.1473368,0.5722987,0.22822753,-0.04491969,0.82110214,-1.0682379,0.6019404,0.6854244,-0.32798508,-0.20711885,0.13220875,0.35329217,-0.2930137,0.238685,0.45824447,-0.0049886694,0.19639866,-0.067277774,0.16836308,0.073306374,0.09617786,0.08431586,0.21215568,-0.0905178,0.30034512,0.64422,-0.5656685,0.22988474,-0.022495361,-0.26753855,-0.32080886,0.18436079,-0.1781226,-0.10344964,-0.013751643,-0.14173195,0.008907824,0.072049454,0.02792902,-0.07220283,0.02678064,0.039645016,-0.013370065,0.012056398,0
-387.39798,65.32231,-5.2099137,17.759476,1.8602377,-2.0209455,-22.638859,12.862225,-11.162177,10.459583,14.53732,3.2693484,9.901678,9.273266,-2.9023118,3.5797985,-0.9780984,0.13509233,0.6868082,-0.00441208,-0.08585306,1.0790185,-0.44168428,-0.43510452,-0.1648189,0.24946561,0.46460646,-0.48162538,0.007903765,-0.08442447,0.48584396,0.03492933,-0.24728993,0.18422687,0.22060245,0.016893968,0.099533804,-0.06515443,0.0052870787,0.0636336,-1.218598,1.6825182,-0.77944255,0.33689788,0.0022813857,-0.18673164,0.12823758,-0.18354079,-0.13897598,0.06583693,-0.15202461,-0.07094876,-0.09965726,0.027612736,-0.11101596,0.07150723,0.13347359,-0.05338797,0.1118385,0.032408196,0
-399.50372,67.4119,-5.2504506,20.92457,5.7116637,-3.1833797,-20.525082,11.57711,-14.079439,10.255147,14.882152,1.9372842,8.237003,9.832817,-1.7087125,5.5205717,-2.328994,1.7067423,-0.667862,2.008178,-1.9117972,0.13684337,0.47775784,-0.606058,0.20960802,0.69235826,0.34467295,-0.121294886,0.7901076,-0.13258575,-0.1573793,0.42884654,-0.17972454,-0.09505243,0.0790842,-0.051348604,-0.17927031,-0.059328064,0.009586944,0.13442509,-1.1491786,-0.17099029,0.15249324,0.20889829,0.094182424,-0.021249196,0.14080779,-0.16303922,0.12168552,0.07285493,-0.18965882,0.010003257,0.07171534,0.07482998,-0.03384965,0.049352128,0.088161424,0.06901055,0.14571139,-0.04609986,0
-381.50546,83.726616,-15.111272,8.943061,5.112753,0.0838805,-19.26241,9.682026,-7.0137954,15.13145,10.718761,2.3312528,8.074196,12.879844,-3.1739771,8.196438,-0.57050985,0.7212941,2.217237,2.8444018,-0.14211017,1.4648386,-0.9960904,-0.5517563,-0.21209437,0.5237408,0.38982594,0.0067881066,0.007561612,0.4698835,-0.22843374,0.033083677,-0.21615158,0.08314828,0.010898293,0.3093986,0.1276566,-0.21898697,0.20008858,0.027597813,0.8551987,-0.7429355,-0.2016781,0.2524972,0.2623069,-0.21863687,-0.07598423,0.19899367,0.09204995,-0.019425323,-0.06311271,-0.19776212,0.076306224,0.06175693,-0.111939915,-0.15844841,0.06073201,-0.06851294,0.16492265,0.09359492,0
-377.30734,82.94122,-17.1634,12.77012,0.91277665,2.9857957,-22.019346,12.013479,-5.9281616,15.960354,12.111403,-0.03731664,10.694307,10.90841,-3.1469758,7.773315,2.189926,-0.47928056,5.0013075,3.6037111,-2.138922,-0.88766295,0.67443323,0.37166208,0.26080054,-0.44653976,-0.18358454,-0.13041107,0.35604602,-0.37791845,0.16472308,0.70836,0.09609643,-0.39769012,0.41301423,0.35930577,-0.083438426,0.2357928,-0.3399,0.30958918,-0.84143263,0.11906156,0.31419852,-0.055075604,-0.047542866,0.067700416,-0.1381765,-0.23144343,0.007821545,-0.05156816,0.1221888,-0.0062537724,-0.066820264,-0.052186105,0.020709787,-0.097969845,0.024926214,0.019259287,-0.13924009,0.09580426,0
